titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion
Botchan,Natsume Söseki,Clásico,N/A,"Botchan es un indiscutible clásico de la moderna literatura japonesa y, desde hace más de cien años, una de las novelas más celebradas por los lectores de aquel país. Considerada el Huckleberry Finn nipón, y comparada también con El guardián entre el centeno, narra las aventuras de Botchan, un joven tokiota descreído y cínico, alter ego de Söseki, al que mandan como profesor a una escuela rural situada en la remota isla de Shikoku. En su nuevo destino pronto se topará con una serie de insólitos personajes, como el jefe de estudios «Camisarroja» o el «Calabaza», un triste profesor de ciencias de aspecto enfermizo y ánimo sombrío. Pero sobre todo se verá obligado a hacer frente a una auténtica caterva de fieros alumnos asilvestrados, que se consagrarán a hacerle la vida imposible. Perspicaz y penetrante, tierna y diferente, Botchan es una de las más hilarantes y entretenidas novelas japonesas de todos los tiempos.",https://ww3.lectulandia.co/book/botchan/,Clásico,2026-09-06 12:19:33
Musashi,Eiji Yoshikawa,"Aventuras, Biografía, Clásico, Fantástico, Histórico",N/A,"Una saga épica monumental sobre la vida y andanzas del samurai más famoso de todos los tiempos y, a la vez, un clásico de las letras japonesas que se ha convertido en un auténtico best seller internacional: sólo en Japón lleva vendidos 120 millones de ejemplares. En 1600 tuvo lugar la batalla de Sekigahara, el conflicto final tras varias décadas de guerra civil, en la que Tokugawa Ieyasu se impuso como nuevo shôgun de Japón. En medio de la devastación y los miles de muertos recobró la conciencia un muchacho que, con la ingenuidad de la juventud, se había unido a la batalla soñando con llegar a ser samurai. Su regreso a casa, convertido en un fugitivo y acosado como un animal salvaje, marca el principio de una vida entregada al camino de la espada, la vida de un joven que renacería con el nombre de Musashi y cuyas hazañas se hicieron legendarias. La biografía de Miyamoto Musashi, la espada más célebre de la historia de Japón, sirve de base a una de las novelas más apasionantes que han dado las letras japonesas. Un libro de lectura compulsiva en el que brillan con luz propia los mejores recursos de una forma de narrar tan enérgica como eficaz y que permite al lector entender la tradición heroica japonesa. ""El equivalente japonés de Lo que el viento se llevó. Edwin O. Reischauer. ""Una saga emocionante... Una lectura que conmueve."" San Francisco Chronicle. ""Vivo, sutil, imaginativo... Rebosante de personajes memorables, muchos de ellos históricos."" Publisher's Weekly.",https://ww3.lectulandia.co/book/musashi/,Clásico,2026-09-06 12:19:35
Guerra y paz (Ed. Muchnik),León Tolstói,"Clásico, Histórico",N/A,"Mientras la aristocracia de Moscú y San Petersburgo mantiene una vida opulenta, pero ajena a todo aquello que acontece fuera de su reducido ámbito, las tropas napoléonicas, que con su triunfo en Austerlitz dominan Europa, se disponen a conquistar Rusia. Guerra y paz es un clásico de la literatura universal. Tolstói es, con Dostoievski, el autor más grande que ha dado la literatura rusa. Guerra y paz se ha traducido pocas veces al español y la edición que presentamos es la mejor traducida y mejor anotada. Reeditamos aquí en un formato más grande y legible la traducción de Lydia Kúper, la única traducción auténtica y fiable del ruso que existe en el mercado español. La traducción de Laín Entralgo se publicó hace más de treinta años y presenta deficiencias de traducción. La traducción de Mondadori se hizo en base a una edición de Guerra y paz publicada hace unos años para revender la novela, pero es una edición que no se hizo a partir del texto canónico, incluso tiene otro final. La edición de Mario Muchnik contiene unos anexos con un índice de todos los personajes que aparecen en la novela, y otro índice que desglosa el contenido de cada capítulo.",https://ww3.lectulandia.co/book/guerra-y-paz-ed-muchnik/,Clásico,2026-09-06 12:19:38
El barrio maldito,Félix Urabayen,"Clásico, Drama",N/A,"Escrita en 1925, El barrio Maldito trata sobre los «agotes», una minoría étnica de orígen incierto que habitaba en algunos valles navarros. También refleja el ambiente de la Navarra de hace un siglo, los Sanfermines, etc. Es una novela lírica y realista simultáneamente, que se lee con gran interés. Igualmente sugestivas resultan sus novelas de ambiente vasco Centauros del Pirineo, La última cigüeña, Estampas del camino, y Los robles navarros. Las demás novelas son de ambiente netamente toledano.",https://ww3.lectulandia.co/book/el-barrio-maldito/,Clásico,2026-09-06 12:19:40
Tiempo de silencio,Luis Martín-Santos,"Clásico, Drama",N/A,"El protagonista de la novela es Pedro, un joven médico investigador en Madrid a finales de la década de los 40. La paupérrima situación económica y social impiden el avance de las investigaciones sobre el cáncer que realiza en una cepa de ratones. Estos ratones habían sido traídos desde Estados Unidos y no se había podido mantener un ritmo de reproducción superior al de su muerte. Su ayudante en el laboratorio, Amador, había regalado meses antes algunos ejemplares a un pariente suyo, el Muecas. Este ha logrado criar estos ratones en su chabola con ayuda de sus hijas. Pedro y Amador acuden a esa chabola para recomprar algunos de esos ratones y poder continuar con las investigaciones. Tras esa visita Pedro entra en contacto con los bajos fondos de Madrid y el Muecas acude a él en su condición de médico cuando su hija mayor, Florita, se desangra debido a un aborto que le ha practicado en casa su padre. La chica muere cuando Pedro, que no ejerce la medicina, intenta salvarla. El protagonista se encuentra entonces perseguido por la policía, que acaba por detenerle y solo le libera cuando la esposa del Muecas explica lo ocurrido. Lo interesante de Tiempo de silencio no es su trama, que entronca con otras novelas de corte realista —especialmente con Baroja y su trilogía La lucha por la vida—, sino la forma de narrar. Martín-Santos se alejó de un estilo propio de la época, sencillo y árido, para armar un libro de resonancias clásicas, con un lenguaje cultivado y complejo, de prolijas descripciones, excursos culteranistas y diálogos empapados de clasicismo. Huelga decir que es una novela difícil en tanto al lenguaje se refiere, si bien la historia que se cuenta es tan sencilla (en su desarrollo narrativo, no en otros planos) como directa.",https://ww3.lectulandia.co/book/tiempo-de-silencio/,Clásico,2026-09-06 12:19:43
Senda hacia tierras hondas,Bashô Matsuo,"Clásico, Poesía, Relato",N/A,"«Senda hacia tierras hondas» es la nueva versión española de la inmortal obra de Matsuo Bashô «Oku no Hosomichi», traducida ahora del japonés por Antonio Cabezas. Escrita a raíz de un viaje poético y espiritual de más de dos mil kilómetros a pie, por zonas apenas transitadas de su país, la obra sigue el modelo de la renga, alternando momentos de gran intensidad con otros más suaves y remansados. Corresponde a la etapa final de la vida de Bashô, tras su conversión al budismo Zen. Nacido en 1644 y muerto en 1694, a los cincuenta años, Matsuo Bashô es uno de los más grandes maestros de la literatura japonesa y universal, y algunos de sus haikus, entre ellos los incluidos en su «Senda hacia tierras hondas», se cuentan entre los más hermosos jamás escritos. IMPORTANTE: Recomendamos descargar los libros de poesía en formato EPUB dado que en PDF pueden tener problemas de visualización.",https://ww3.lectulandia.co/book/senda-hacia-tierras-hondas/,Clásico,2026-09-06 12:19:45
Lisístrata,Aristófanes,"Clásico, Humor, Teatro",N/A,"Cansadas de soportar las prolongadas ausencias del hogar que la guerra impone a los varones y de la consiguiente escasez de relaciones sexuales, las mujeres de toda la Hélade, convocadas en Atenas por Lisístrata, deciden hacer que tan incómoda situación obre en su favor, llevándola a sus últimos extremos. Para conseguir la paz fuera de sus casas declararán la guerra dentro de ellas: forzarán a los hombres a concertar la paz, negándose por completo a mantener relaciones sexuales con ellos mientras dure la guerra.",https://ww3.lectulandia.co/book/lisistrata/,Clásico,2026-09-06 12:19:48
Alrededor de la luna,Julio Verne,"Aventuras, Clásico",N/A,"Año: 1870 Sinopsis: Este viaje Alrededor de la Luna, continuación del relato titulado De la Tierra a la Luna, es la prolongación novelada del Verne que sabe combinar, con el artificio del narrador vigoroso, los mitos lunares imaginados por el hombre desde los inicios de la humanidad con los conocimientos científicos del siglo XIX. Verne narra con lujo de detalles cómo sería el viaje de dos estadounidenses y un francés dentro de una bala gigante hacia la Luna. Mientras en De la Tierra a la Luna se dedica a explicar minuciosamente cómo unos emprendedores planean y ejecutan todos los preparativos para un viaje hacia la Luna en una bala de cañón, en Alrededor de la Luna describe el transcurso de ese viaje. El viaje se realiza durante la luna llena y, aunque la idea de los tripulantes era aterrizar en el satélite, pronto se dan cuenta de que están atrapados orbitando alrededor de él. Hacen conjeturas sobre la posibilidad de vida selenita, y después de comprobar que en el lado de la Luna que siempre mira a la Tierra, ampliamente explorado por los telescopios de la época, no hay indicio de vida, se internan en el otro lado. Como todo esto transcurre durante la luna llena, el lado oculto se encuentra absolutamente a oscuras. Sin embargo, estalla un bólido que hace posible, apenas por unos instantes, ver bien la superficie lunar de cerca, y los personajes se dan cuenta de que, en el pasado, la Luna tuvo continentes, ciudades y vida selenita que luego sería destruida.",https://ww3.lectulandia.co/book/alrededor-de-la-luna/,Clásico,2026-09-06 12:19:50
Robin Hood,Anónimo,"Aventuras, Clásico",N/A,"Robin Hood es el legendario héroe de baladas inglesas, que robaba a gobernantes y eclesiásticos, acomodados, para entregar parte del botín a necesitados, menesterosos y oprimidos. Se lo sitúa entre los finales del siglo XIV y principios del XV, se duda si fue un personaje real o legendario. Pero se lo describe como un cazador que vivía en los bosques reales de Sherwood, en Nottinghamshire, y de Barnsdale, en Yorkshire. La obra narrativa que circula hasta nuestros días es de autor anónimo. Es una especie de relato épico formado por más de treinta baladas, recopiladas bajo el nombre de The gest of Robin Hood, e impresa alrededor del año 1500, dando cuenta de diversos pasajes de la vida del protagonista. En su banda se nombraba a Friar Tuck, a Little John y a Will Scarlet, como integrantes. Frente a las condiciones sociales medievales, Robin Hood defendía y era el héroe (antihéroe) de los necesitados.",https://ww3.lectulandia.co/book/robin-hood-2/,Clásico,2026-09-06 12:19:53
Don Juan Tenorio,José Zorrilla,"Clásico, Drama, Teatro",N/A,"Don Juan Tenorio es un drama romántico en dos partes publicado en 1844 por José Zorrilla. Constituye, junto con El burlador de Sevilla y convidado de piedra, atribuida a Tirso de Molina y de la que Don Juan Tenorio es deudora, una de las dos principales materializaciones literarias en lengua española del mito de Don Juan.",https://ww3.lectulandia.co/book/don-juan-tenorio/,Clásico,2026-09-06 12:19:55
Los tres mosqueteros,Alexandre Dumas,"Aventuras, Clásico",Las novelas de D’Artagnan,"La acción se sitúa durante el reinado de Luis XIII, en Francia. D’Artagnan es un joven de 18 años, hijo de un noble gascón, antiguo mosquetero, de escasos recursos económicos. Se dirige a París con una carta de su padre para el señor de Treville, jefe de los Mosqueteros del Rey. En una posada, durante su ruta, D’Artagnan desafía a un caballero que acompaña a una bella y misteriosa dama.",https://ww3.lectulandia.co/book/los-tres-mosqueteros/,Clásico,2026-09-06 12:19:57
De la Tierra a la Luna,Julio Verne,"Aventuras, Clásico",N/A,"Año: 1865 Sinopsis: Estamos en 1865. El primero de diciembre, a las once menos trece minutos, ni un segundo antes ni después, debe ser lanzado aquel inmenso proyectil... En su interior viajarán tres originales y pintorescos personajes, los tres primeros hombres que se dirigen a la Luna. Es un proyecto fabuloso que ha despertado el interés del mundo entero. Pero no es tarea fácil tener todo listo para esa fecha... Sin embargo, si esto no se logra, habrá que esperar dieciocho años y once días para que la Luna esté en las mismas condiciones de cercanía de la Tierra. Julio Verne hace participar al lector, en forma vívida, en todos los preparativos para esta aventura realmente apasionante.",https://ww3.lectulandia.co/book/de-la-tierra-a-la-luna/,Clásico,2026-09-06 12:20:00
Las furias,Pío Baroja,"Clásico, Histórico, Relato",Memorias de un hombre de acción,"Las Furias es un relato que comienza con el diario de un supuesto comerciante malagueño, Pepe Carmona y que recoge impresiones e ideas que le sugirió al novelista una visita a la ciudad mediterránea. El relato se desenvuelve todo el en ambiente mediterráneo: el de Tarragona, el de Barcelona,… Historias de amor mezcladas con pasión y tensión política. El supuesto diario culmina con el relato del asalto a la ciudadela de Barcelona y las matanzas que tuvieron lugar en ella. La segunda parte la constituye la versión que da Aviraneta de las causas internas o sacadas de la tragedia: lo pasional y romántico quedan sustituidos por la maniobra o intriga política oscurísima. El tercer relato, puesto otra vez en pluma de Pepe Carmona, se refiere a la revolución de Málaga en 1836, caso curioso de movimiento popular provocado por gente nada popular, con las muertes, de Saint Just y conde de Donadio como hechos más señalados. Aún hay un cuarto relato en que las figuras centrales son Narváez y una dama a la que galanteó de joven. La imagen de «Las furias» clásicas domina sobre todas las narraciones breves y dramáticas.",https://ww3.lectulandia.co/book/las-furias/,Clásico,2026-09-06 12:20:03
El amante,Marguerite Duras,"Clásico, Drama, Romántico",N/A,"Marguerite Duras, adolescente, en el período que ella reconstruye en este libro. Marguerite Duras se convierte de la noche a la mañana, con El amante, en una autora solicitada por todos los públicos. Y, además, recibe poco después, en noviembre de 1984. el prestigioso Premio Goncourt. A todos emociona sin duda esta narración autobiográfica en la que la autora expresa, con la intensidad del deseo, esa historia de amor entre una adolescente de quince años y un rico comerciante chino de veintiséis. Esa jovencita bellísima, pero pobre, que vive en Indochina, no es otra que la propia escritora quien, hoy, recuerda las relaciones apasionadas, de intensos amor y odio, que desgarraron a su familia y, de pronto, grabaron prematuramente en su rostro los implacables surcos de la madurez. Pocas personas —y en particular mujeres— permanecerán inmunes a la contagiosa pasión que emana de este libro.",https://ww3.lectulandia.co/book/el-amante/,Clásico,2026-09-06 12:20:06
La abadía de Northanger,Jane Austen,Clásico,N/A,"Publicada originalmente en 1818, La abadía de Northanger narra la historia de Catherine Morland, una joven ingenua y aficionada a la lectura de novelas góticas. Invitada por los Tilney, que erróneamente la consideran una rica heredera, a pasar una temporada en su casa de campo, se dedicará a investigar tortuosos e imaginarios secretos de familia. Pero cuando finalmente todo se aclare y comprenda que la vida no es una novela, la inocente Catherine pondrá los pies en la tierra y encauzará su futuro según dictan las normas morales y sociales.",https://ww3.lectulandia.co/book/la-abadia-de-northanger/,Clásico,2026-09-06 12:20:08
El extraño caso del Dr. Jekyll y Mr. Hyde,Robert Louis Stevenson,"Clásico, Terror",N/A,"'El extraño caso del Dr. Jekyll y Mr. Hyde' (en inglés 'Strange Case of Dr Jekyll and Mr Hyde'), a veces titulado simplemente 'El doctor Jekyll y el señor Hyde', es una novela escrita por Robert Louis Stevenson y publicada por primera vez en inglés en 1886, que trata acerca de un abogado, Gabriel John Utterson, que investiga la extraña relación entre su viejo amigo, el Dr. Henry Jekyll, y el misántropo Edward Hyde. El libro es conocido por ser una representación vívida de la psicopatología correspondiente a un desdoblamiento de personalidad. Fue un éxito inmediato y uno de los más vendidos de Stevenson. Las adaptaciones teatrales comenzaron en Boston y Londres un año después de su publicación y aún hoy continúa inspirando películas e interpretaciones interesantes.",https://ww3.lectulandia.co/book/el-extrano-caso-del-dr-jekyll-y-mr-hyde/,Clásico,2026-09-06 12:20:10
Más allá y otros cuentos,Horacio Quiroga,"Clásico, Cuentos, Drama, Fantástico, Romántico, Terror",N/A,"El último libro publicado en vida de Horacio Quiroga fue ‘Más allá’, colección de once cuentos de 1935. La crítica de su tiempo lo trató desfavorablemente, señalando que el autor, en sus postrimerías, retrocedía a la etapa inicial, a los viejos dioses modernistas del novecientos. En forma general, la apreciación puede ser justa, pero hay varias piezas que se cuentan entre las mejores del autor y que justifican largamente la lectura del volumen.",https://ww3.lectulandia.co/book/mas-alla-y-otros-cuentos/,Clásico,2026-09-06 12:20:13
Los desterrados y otros cuentos,Horacio Quiroga,"Clásico, Cuentos, Drama, Fantástico",N/A,"‘Los desterrados’, libro publicado en 1926, es considerado el más logrado y orgánico de Horacio Quiroga, verdadera cima de su trayectoria narrativa. Recoge ocho relatos, de ambientación agreste, cuyo tema central es la lucha entre la naturaleza y el hombre, la antítesis de civilización y barbarie. La crítica lo ha ponderado como un «contario»: un conjunto de cuentos que se relacionan y se complementan entre sí. Exceptuando el primero —única pieza fantástica del volumen—, los relatos comparten tiempo, escenarios y personajes; es decir, elementos de una historia reaparecen en otras con mayor o menor jerarquía, lo que otorga una fuerte coherencia a este mundo autobiográfico-ficcional.",https://ww3.lectulandia.co/book/los-desterrados-y-otros-cuentos/,Clásico,2026-09-06 12:20:15
El desierto y otros cuentos,Horacio Quiroga,"Clásico, Cuentos, Drama, Fantástico, Romántico",N/A,"En 1924 Horacio Quiroga publica ‘El desierto’, colección con tres partes claramente diferenciadas. En la primera se recogen dos relatos de Misiones, a orillas del Paraná, un escenario tan querido por el autor. En la segunda, cuatro cuentos urbano-románticos, aunque dos de ellos con giros fantásticos que los diferencian de lo convencional. La última parte reúne cinco apólogos o fábulas, que exaltan el poder transformador de los sentimientos, sintetizando así el tema principal de la obra quiroguiana: el amor humaniza y el odio embrutece.",https://ww3.lectulandia.co/book/el-desierto-y-otros-cuentos/,Clásico,2026-09-06 12:20:18
La cartuja de Parma,Stendhal,"Clásico, Relato",N/A,"La cartuja de Parma narra la historia del joven patricio italiano Fabrizio del Dongo y sus aventuras durante los últimos años del dominio napoleónico en Europa. Los hechos transcurren principalmente en la ciudad de Parma y en el castillo familiar del lago de Como. La tía de Fabrizio, la fascinante Gina, duquesa de Sanseverino, y su amante, el primer ministro del ducado, Conde Mosca, urden un plan para promocionar la carrera del adorado sobrino en la corte de Parma. Gina es objeto de las proposiciones del detestable príncipe Ranuccio-Ernesto IV, al que se ha jurado rechazar con todas sus fuerzas. Fabrizio es arrestado por homicidio y encerrado en la torre Farnese de la que logra fugarse con una soga y la ayuda de Clelia, la hija de su carcelero, de la que se enamorará irremediablemente durante su estancia en la torre.",https://ww3.lectulandia.co/book/la-cartuja-de-parma/,Clásico,2026-09-06 12:20:20
Macbeth. Una tragedia en 5 actos,William Shakespeare,"Clásico, Teatro",N/A,"Una de las tragedias más conocidas de William Shakespeare. Macbeth es una obra tenebrosa e inquietante a la vez que vigorosa y fascinante, debido a su tratamiento dramático del mal, del mal que nace del ansia de poder. Macbeth cuenta la historia de un crimen y castigo, entreverada de brujería y elementos sobrenaturales, cuya acción vertiginosa mantiene el interés hasta el final. Pero una obra tan activa, es también profundamente introspectiva. En ella van paralelas la acción física con el torbellino de conciencias en las que se apoya. De esta forma la obra indaga en lo prohibido, explora la trasgresión mediante un lenguaje metafórico y sensorial único, el más denso lenguaje figurado de Shakespeare, con imágenes asociadas a las tinieblas, la muerte, la naturaleza quebrantada, la crueldad, la esterilidad (el alma llena de escorpiones, el recién nacido cabalgando a lomos de un caballo en la noche, la criatura sonriente arrancada del pecho de su madre). Un torbellino de imágenes que van impresionándose en la pupila del espectador, operando a través de símbolos que van conformando una lectura coherente. La altura poética e intelectual de Macbeth no oculta ni suaviza el mundo político concreto de sangre y violencia, ambición y deslealtad en que la acción se desenvuelve.",https://ww3.lectulandia.co/book/macbeth-una-tragedia-en-5-actos/,Clásico,2026-09-06 12:20:23
Las mil y una noches (trad. de Juan Vernet),Anónimo,"Clásico, Fantástico, Poesía",N/A,"Las mil y una noches es una de las obras más importantes e influyentes de la literatura universal. Se trata de una recopilación de cuentos y leyendas de origen hindú, árabe y persa, de los cuales no existe un texto definitivo, sino múltiples versiones. El rey Schahriar, tras sufrir las infidelidades de su esposa, decide casarse cada día con una joven virgen que es ejecutada a la mañana siguiente para evitar así cualquier otra traición. Para impedir que todas las muchachas del reino mueran, la joven Scherezade se ofrece como voluntaria para casarse con el monarca, y utiliza su astucia para proponerle un pacto mediante el cual no podrá ser ejecutada hasta que no acabe de contarle una historia. Los cuentos que la componen se prolongarán a lo largo de mil y una noches, y acabarán por cautivar al monarca y disuadirle de su cruel empresa. Entre las ediciones españolas fundamentales están la que tradujo y editó Vicente Blasco Ibáñez, de la edición francesa de Joseph-Charles Mardrus (1889); y esta, del catedrático y arabista Juan Vernet, traducción directa del original árabe, más fiel con el original. IMPORTANTE: Recomendamos descargar los libros de poesía en formato EPUB dado que en PDF pueden tener problemas de visualización.",https://ww3.lectulandia.co/book/las-mil-y-una-noches-trad-de-juan-vernet/,Clásico,2026-09-06 12:20:25
La peste,Albert Camus,"Clásico, Drama, Novela",N/A,"La peste narra las consecuencias del aislamiento de toda una ciudad, lo cual pone de manifiesto lo mejor y lo peor que cada uno de sus ciudadanos lleva dentro: sus miedos, traiciones, individualismo, pero también la solidaridad, la compasión, el espíritu de colaboración con el prójimo en tareas comunes... Novela apasionante, de gran densidad de pensamiento y de profunda comprensión del ser humano, se ha convertido en uno de los clásicos más indiscutibles de la literatura francesa de todos los tiempos y en uno de los más leídos.",https://ww3.lectulandia.co/book/la-peste/,Clásico,2026-09-06 12:20:28
Pequeño hombre ¿y ahora qué?,Hans Fallada,Clásico,N/A,"Alemania, finales de la década de 1920. A pesar de la mala situación económica por la que atraviesa el país, Johannes y Emma forman una pareja llena de ilusión que aborda la vida con entusiasmo. Por eso, cuando Emma se queda embarazada deciden casarse. Están seguros de que gracias a su amor podrán superarlo todo, pero pronto se dan cuenta de que la realidad es más dura de afrontar de lo que habían esperado. Cuando Johannes pierde su empleo, animados por la madre de este, se trasladan a Berlín, pero no encuentran en la familia la ayuda prometida y tienen que arreglárselas solos. El nacimiento de su pequeño les trae una gran alegría, aunque también añade nuevas dificultades a la vida de la joven pareja que, sin embargo, no pierde la esperanza.",https://ww3.lectulandia.co/book/pequeno-hombre-y-ahora-que/,Clásico,2026-09-06 12:20:30
El fulgor y la sangre,Ignacio Aldecoa,"Clásico, Drama",N/A,"El fulgor y la sangre, finalista del Premio Planeta 1954, narra la tensa espera de unas mujeres, esposas de guardias civiles, que, situadas en un pueblo castellano, saben que hay entre los suyos un muerto en acto de servicio, ignorándose de momento quién pueda ser. Mediante una precisa alternancia del presente y el pasado, desfilan ante el lector las lentas horas de congoja, las pequeñas humillaciones de la vida diaria y los recuerdos de la guerra civil que persiguen a cada uno de los personajes, con sus temores e insatisfacciones. Son apenas ocho o nueve horas de un día de verano en las que el tedio de un presente sumido en la depresiva y taciturna vida cuartelera se une al moroso sondeo de la memoria. Su alternancia desvela la miseria, la sordidez y los descalabros físicos y morales de la guerra civil y la posguerra. Aldecoa consigue en El fulgor y la sangre la máxima temperatura sensorial, en una singularidad testimonial matizada por la fusión de elementos trágicos y grotescos.",https://ww3.lectulandia.co/book/el-fulgor-y-la-sangre/,Clásico,2026-09-06 12:20:32
Ana Karenina,León Tolstói,"Clásico, Drama",N/A,"Ana Karenina es la historia de una pasión. La protagonista es un personaje inquietante y fascinador por la intensidad de su vida. Tolstoi, buen psicólogo y conocedor del mundo que le rodea, abre la intimidad de Ana y traza con pulso firme la trama de esta novela, una obra imperecedera por su hondura, su fuerza y su veracidad. En la novela, Tolstoi utiliza los mismos métodos creativos realistas que en sus primeras obras, pero presenta una unidad artística mucho más sólida, y la exuberancia deja paso al pesimismo. El autor se reafirma en sus creencias y en su idea crítica respecto a la vida urbana, ahogada por la superficialidad.",https://ww3.lectulandia.co/book/ana-karenina/,Clásico,2026-09-06 12:20:35
Anna Karénina (Ed. Alba 2010),León Tolstói,"Clásico, Drama",N/A,"La sola mención del nombre de Anna Karénina sugiere inmediatamente dos grandes temas de la novela decimonónica: pasión y adulterio. Pero, si bien es cierto que la novela, como decía Nabokov, «es una de las más grandes historias de amor de la literatura universal», baste recordar su celebérrimo comienzo para comprender que va mucho más allá: «Todas las familias felices se parecen; las desdichadas lo son cada una a su modo». Anna Karénina , que Tolstói empezó a escribir en 1873 (pensando titularla Dos familias ) y no vería publicada en forma de libro hasta 1878, es una exhaustiva disquisición sobre la institución familiar y, quizá ante todo, como dice Víctor Gallego (autor de esta nueva traducción), «una fábula sobre la búsqueda de la felicidad». La idea de que la felicidad no consiste en la satisfacción de los deseos preside la detallada descripción de una galería espléndida de personajes que conocen la incertidumbre y la decepción, el vértigo y el tedio, los mayores placeres y las más tristes miserias. «¡Qué artista y qué psicólogo!», exclamó Flaubert al leerla. «No vacilo en afirmar que es la mayor novela social de todos los tiempos», dijo Thomas Mann. Dostoievski, contemporáneo de Tolstói, la calificó de «obra de arte perfecta».",https://ww3.lectulandia.co/book/anna-karenina-ed-alba-2010/,Clásico,2026-09-06 12:20:37
Guerra y paz,León Tolstói,"Clásico, Histórico, Relato",N/A,"Obra cumbre, junto a Ana Karenina , de Lev Tolstói y de la narrativa del siglo XIX, Guerra y paz constituye un vasto fresco histórico y épico. Con la campaña napoleónica contra Rusia como trasfondo —Austerliz, Borodino o el incendio de Moscú— entre los años 1805 y 1813, se nos cuenta la historia de dos familias de la nobleza rusa, los Bolkonski y los Rostov, protagonistas de un mundo que empieza a escenificar su propia desaparición. Pocas veces tenemos la oportunidad de leer una versión distinta de un clásico indiscutible. Hasta ahora, todas las traducciones de Guerra y paz se basaban en la edición canónica de 1873. Fue en 1983 cuando la Academia Soviética de Ciencias publicó lo que ellos llamaron la «edición original», la primera versión que Tolstói escribió en 1866 y que ahora publicamos por primera vez en castellano, en la espléndida traducción de Gala Arias Rubio.",https://ww3.lectulandia.co/book/guerra-y-paz/,Clásico,2026-09-06 12:20:40
Persuasión,Jane Austen,"Clásico, Romántico",N/A,"Es la historia del romance de Anne, la hija menor del fatuo Sir Walter Elliot, bonita y sociable, que encuentra a su héroe, el Capitán Wenworth, a pesar de las barreras sociales. La vanidad y los prejuicios de una aristocrática familia se interponen en el amor profundo y sincero de la joven pareja. Anne fue educada por una amiga al morir su madre. Su gratitud hacia la elegante dama la empuja a escuchar los consejos que le impedirán unirse al hombre que ama, un oficial de marina de poca fortuna. De esta forma, enfrenta largos años de soledad en los que la belleza y el resplandor de la juventud van mermando, pero no así su carácter dulce y bondadoso que, junto a su inteligencia, consolida la personalidad de una atractiva mujer, preparada tanto para las situaciones adversas como para la maravillosa segunda oportunidad del destino.",https://ww3.lectulandia.co/book/persuasion/,Clásico,2026-09-06 12:20:42
El enfermo imaginario,Molière,"Clásico, Teatro",N/A,"El 17 de febrero de 1673. Moliére caracterizaba a Argan, el protagonista de su obra el enfermo imaginario, cuando en la escena final le sobrevino un ataque y falleció pocas horas después. En su última obra, el dramaturgo francés presenta a ese tipo de enfermo imaginario que ha existido siempre: aquel que estando totalmente sano se siente enfermo, se cree débil y lleno de achaques y se cuida -al mismo tiempo que se hace cuidar- extremadamente para aliviar esos males que imagina. Y exige que todos los que viven junto a él giren alrededor de su enfermedad. A pesar de sus muchas escenas caricaturescas y divertidas. El enfermo imaginario es una comedia dramática. Argan, en su egoísmo, es la imagen de la incomprensión; procede injustamente, y hasta en forma perversa, con su hija, sin importarle sacrificar su felicidad. El desenlace es sencillo y natural, y las escenas finales son hábiles y cuidadosas. Todo ello y la maestría del autor para enfocar el tema central explican la vigencia actual de esta obra que tiene ya varios siglos.",https://ww3.lectulandia.co/book/el-enfermo-imaginario/,Clásico,2026-09-06 12:20:45
Retorno a Brideshead,Evelyn Waugh,"Clásico, Otros, Religión",N/A,"Considerada por la revista TIME una de las cien mejores novelas de todos los tiempos, la comprensión de Retorno a Brideshead requiere ciertas claves interpretativas, algunas de ellas proporcionadas por Evelyn Waugh en el prefacio de la obra, que ofrece “a una generación de lectores jóvenes más bien como un recuerdo de la segunda guerra mundial que de los años veinte o treinta, en los que aparentemente se desarrolla la historia“. Escrito el libro en los años 1943/44, con ocasión de una convalecencia que alejó al autor de los frentes de la batalla, el rechazo psicológico de restricciones y privaciones se traducirá en el sibaritismo de los protagonistas y su entorno. Asimismo, el marco de referencia, una impresionante mansión nobiliaria en la campiña inglesa, obedecía a la oposición al abandono, deterioro y maltrato de estos monumentos, cuya continuidad se hallaba entonces seriamente comprometida. Faltan, empero referencias explicativas de la elección del tema central o de la estancia en Oxford con que se inicia la trama. El argumento axial, la manifestación de la gracia divina (arrepentimiento final de Lord Marchmain, adiós definitivo de Julia a Charles o, la “llamita rojiza“ ante el sagrario, causante de que el agnóstico Charles Ryder acabe por parecer “mucho más contento que de costumbre“), guarda, sin duda, estrecha relación con la conversión al catolicismo del propio Evelyn Waugh. Resonancia autobiográficas poseen también los años en Oxford, universidad en la que Waugh en Historia Moderna, precisamente en la Facultad en la que se inscribe Charles Ryder. En cuanto a la ambigua amistad de Sebastian Flyte y Charles Ryder, es de resaltar la valoración que de la misma hace Cora, la mundana y experimentada amante de Lord Marchmain. En este terreno, las trayectorias de ambos amigos no sólo resultarán divergentes sino opuestas. Por último, subrayemos que la extraordinaria novela ha sido argumento de una de las mejores y más logradas series televisivas inglesas, con actores y ambientaciones de excepcional calidad.",https://ww3.lectulandia.co/book/retorno-a-brideshead/,Clásico,2026-09-06 12:20:47
